nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,scip_seconds,status,objective_value,achieved_GHG
7,90,20,109,64.76018399999998,0.0006282340036705136,0.6439593370305374,,optimal,9.206292966300541,64.726476
7,90,40,129,64.76538299999999,0.00047226797323673964,2.1482072160579264,,optimal_inaccurate,9.2631659571666,64.76432100000005
7,90,60,149,64.74673799999998,0.0005453949561342597,3.2923835170222446,,optimal_inaccurate,9.296289752605244,64.74296100000005
7,90,80,169,64.72295999999999,0.000483175041154027,10.399537471937947,,optimal_inaccurate,9.323337698827816,64.71928800000006
7,90,100,189,64.73771699999998,0.0004563770489767194,3.8624470479553565,,optimal_inaccurate,9.349387489310054,64.73501700000006
7,75,20,94,52.97891699999999,0.0004198669921606779,0.5042772269807756,,optimal,9.053446389631109,52.97674800000002
7,75,40,114,52.98448199999999,0.00043489900417625904,2.829294644994661,,optimal_inaccurate,9.113611254614787,52.983480000000014
7,75,60,134,52.974788999999994,0.0004513480234891176,3.0836386430310085,,optimal_inaccurate,9.15195186235726,52.97281800000003
7,75,80,154,52.988066999999994,0.00045329099521040916,3.405047518084757,,optimal_inaccurate,9.179999199309496,52.983015000000016
7,75,100,174,52.97498699999999,0.0004534859908744693,3.162013101973571,,optimal_inaccurate,9.201528684542293,52.97192100000003
7,60,20,79,41.780871,0.00045135209802538157,3.3948247449006885,,optimal,8.87898930989989,41.756462999977764
7,60,40,99,41.836791,0.0004308560164645314,3.1476048140320927,,optimal_inaccurate,8.934749441625177,41.83530900000002
7,60,60,119,41.82666,0.0004435029113665223,4.140833126031794,,optimal_inaccurate,8.980253676808537,41.823789
7,60,80,139,41.77531799999999,0.0004581150133162737,4.053116451017559,,optimal_inaccurate,9.009922260391422,41.774357999999964
7,60,100,159,41.781741,0.0004835639847442508,6.044064611080103,,optimal_inaccurate,9.03075019208713,41.778345
7,45,20,64,31.350030000000004,0.0004237759858369827,2.0344556159107015,,optimal,8.6652282347828,31.349537999999974
7,45,40,84,31.315962000000003,0.0004277479602023959,2.669033166952431,,optimal_inaccurate,8.728396743905414,31.311764999999973
7,45,60,104,31.338000000000005,0.00045166199561208487,3.1697283479152247,,optimal_inaccurate,8.77341719935764,31.33654199999997
7,45,80,124,31.341156,0.0004468809347599745,6.346274784067646,,optimal_inaccurate,8.806474935393362,31.33910099999998
7,45,100,144,31.288653000000004,0.0004638331010937691,4.6564786289818585,,optimal_inaccurate,8.825478184332702,31.287752999999977
7,30,20,49,21.048465,0.00041871191933751106,2.5215460100444034,,optimal_inaccurate,8.367136024788053,21.046106999999978
7,30,40,69,20.977095000000002,0.0004318590508773923,4.06732429692056,,optimal_inaccurate,8.451109848030129,20.973441000086062
7,30,60,89,20.930982,0.00042334396857768297,4.364863452967256,,optimal_inaccurate,8.492575971908568,20.925774000000004
7,30,80,109,20.962302,0.0004451669519767165,5.373125265003182,,optimal_inaccurate,8.523407914953747,20.95954499999997
7,30,100,129,20.967501000000002,0.000446476973593235,7.0967937669483945,,optimal_inaccurate,8.540936509464137,20.96475
7,15,20,34,9.963557999999997,0.0004268219927325845,4.470272790058516,,optimal_inaccurate,7.834534848157716,9.962114999999999
7,15,40,54,9.926894999999998,0.000432959059253335,4.157513977959752,,optimal_inaccurate,7.958449163594153,9.923919000000003
7,15,60,74,9.918026999999999,0.0004163859412074089,4.914523571031168,,optimal_inaccurate,7.986221301175558,9.917328000000003
7,15,80,94,9.869537999999997,0.00048741104546934366,5.986913368920796,,optimal_inaccurate,7.993361178703132,9.867051
7,15,100,114,9.875102999999998,0.00046486209612339735,4.804670252953656,,optimal_inaccurate,8.000969627020249,9.873693000000001
7,5,20,24,2.748792,0.00044292397797107697,4.647924588061869,,optimal_inaccurate,6.986465557163598,2.7454110000000025
7,5,40,44,2.7892200000000003,0.0004122910322621465,5.225128181045875,,optimal_inaccurate,7.07171000780157,2.7890820000000005
7,5,60,64,2.719341,0.00043712195474654436,4.121028322027996,,optimal_inaccurate,7.089951029663297,2.7189389999999993
7,5,80,84,2.685273,0.00042935588862746954,6.600310513051227,,optimal_inaccurate,7.081046323547139,2.6769869999999996
7,5,100,104,2.707311,0.0004546539857983589,5.511733558960259,,optimal_inaccurate,7.091565301064747,2.704434
7,3,20,22,1.326858,0.00042283593211323023,5.437668549013324,,optimal_inaccurate,6.515718354083542,1.3176539999999997
7,3,40,42,1.3970100000000003,0.00041101593524217606,6.99321233399678,,optimal_inaccurate,6.619130275156247,1.3922400000000001
7,3,60,62,1.3461660000000002,0.0004400740144774318,4.895330133964308,,optimal_inaccurate,6.630802405017785,1.3404989999999997
7,3,80,82,1.3071540000000001,0.00045268796384334564,5.536159715964459,,optimal_inaccurate,6.608526246077574,1.3067220000000002
7,3,100,102,1.3359390000000002,0.0004620299441739917,4.235778312082402,,optimal_inaccurate,6.623071449875257,1.323141
14,90,20,109,124.35285300000007,0.00045589194633066654,0.6416264959843829,,optimal,18.482596466401937,124.35121199999983
14,90,40,129,124.31037600000006,0.000482684001326561,3.8826596830040216,,optimal_inaccurate,18.632277316525617,124.30197599999997
14,90,60,149,124.30210500000005,0.0005047919694334269,1.0501177500700578,,optimal,18.719951437253194,124.30066499999994
14,90,80,169,124.30384200000006,0.0005370539147406816,5.459314273088239,,optimal_inaccurate,18.791190709010984,124.30341899999996
14,90,100,189,124.40789100000006,0.0005023509729653597,7.1174693329958245,,optimal_inaccurate,18.869206551657562,124.40549399999996
14,75,20,94,101.00465700000002,0.00049047009088099,1.3856762759387493,,optimal,18.192395465948238,100.99925100000038
14,75,40,114,101.01500400000002,0.00048280798364430666,3.3557499579619616,,optimal_inaccurate,18.35166076497933,101.01336599999992
14,75,60,134,100.96668900000002,0.0004925680113956332,5.220510556013323,,optimal_inaccurate,18.432850442116056,100.96481400044972
14,75,80,154,101.12886900000002,0.0005003410624340177,4.957381114945747,,optimal_inaccurate,18.502717403015186,101.1285960000001
14,75,100,174,101.08251300000002,0.0005496330559253693,5.356467628036626,,optimal_inaccurate,18.556386675265863,101.082399000001
14,60,20,79,78.86928600000002,0.00047436601016670465,7.4693082890007645,,optimal_inaccurate,17.856975376477347,78.85777799999998
14,60,40,99,78.93391800000002,0.00046206102706491947,3.7171112770447508,,optimal_inaccurate,17.999308921621633,78.93342299999998
14,60,60,119,78.90924600000001,0.0005037349183112383,4.2203016330022365,,optimal_inaccurate,18.09997626390608,78.90526500000004
14,60,80,139,78.88798500000001,0.00048730603884905577,6.514118724036962,,optimal_inaccurate,18.15521126771132,78.88654800000016
14,60,100,159,78.84587100000002,0.000562389031983912,3.3244231740245596,,optimal_inaccurate,18.205841131026048,78.8456130000001
14,45,20,64,58.8432,0.00046336802188307047,4.040308241033927,,optimal_inaccurate,17.4619383739215,58.84222799999958
14,45,40,84,58.798905000000005,0.000467892037704587,3.114903382025659,,optimal_inaccurate,17.60494128693164,58.797963000000074
14,45,60,104,58.833954000000006,0.0004832240520045161,3.7847779400181025,,optimal_inaccurate,17.694737164964017,58.83199800000004
