nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,scip_seconds,status,objective_value,achieved_GHG
7,90,20,109,64.760184,0.0006192910950630903,0.05463619902729988,0.04149932600557804,optimal,9.206292938456809,64.72647511334006
7,90,40,129,64.765383,0.00040226802229881287,0.048618444008752704,0.04174631414934993,optimal,9.262489252517767,64.68601710374736
7,90,60,149,64.746738,0.0004166909493505955,0.04593333904631436,0.03873561508953571,optimal,9.29283609050766,64.607241
7,90,80,169,64.72296,0.0004147919826209545,0.07089661387726665,0.06289953691884875,optimal,9.320040389656368,64.555767
7,90,100,189,64.73771699999999,0.0004629709292203188,0.06407936289906502,0.05621239892207086,optimal,9.344339438965404,64.725306
7,75,20,94,52.97891699999999,0.0003879580181092024,0.09901858889497817,0.09258791292086244,optimal,9.051696391924152,52.89658355430643
7,75,40,114,52.98448199999999,0.0003884572070091963,0.06658604578115046,0.05981875001452863,optimal,9.110410787723332,52.97191196648017
7,75,60,134,52.974788999999994,0.0004271860234439373,0.05410635704174638,0.046240468975156546,optimal,9.151840556722881,52.962476500447956
7,75,80,154,52.988066999999994,0.00043434789404273033,0.07507787714712322,0.06751823192462325,optimal,9.179999125411207,52.9830108163384
7,75,100,174,52.97498699999999,0.0003976880107074976,0.06113617308437824,0.05358870211057365,optimal,9.200642178622218,52.899236915742065
7,60,20,79,41.780871,0.00042683398351073265,0.08480090298689902,0.07817706582136452,optimal,8.877817364296995,41.775167999999994
7,60,40,99,41.836791,0.00040263007394969463,0.6328458630014211,0.6255076669622213,optimal,8.933998207530248,41.778536968131434
7,60,60,119,41.82666,0.0004136629868298769,0.06364135514013469,0.056829069973900914,optimal,8.978380414817922,41.815071
7,60,80,139,41.77531799999999,0.00041941599920392036,0.05560212698765099,0.048528337851166725,optimal,9.009528765656952,41.742424834005135
7,60,100,159,41.781741,0.0003949811216443777,0.14271995681338012,0.13518328010104597,optimal,9.030395788330292,41.754800023327846
7,45,20,64,31.350029999999997,0.00041668699122965336,0.054485053988173604,0.04847760801203549,optimal,8.663568230284216,31.33808999640055
7,45,40,84,31.315961999999995,0.0003810049965977669,0.08324380312114954,0.07658601994626224,optimal,8.728004815167125,31.290245138844636
7,45,60,104,31.337999999999997,0.00039119203574955463,0.05798102100379765,0.05092746508307755,optimal,8.772443695767926,31.283693593033643
7,45,80,124,31.341155999999994,0.00039852922782301903,0.17426632577553391,0.16709381202235818,optimal,8.805857989207281,31.338606
7,45,100,144,31.288652999999996,0.0004748459905385971,0.06097114994190633,0.05361425597220659,optimal,8.823652012832934,31.24308249859979
7,30,20,49,21.048464999999997,0.0003959720488637686,0.044992213835939765,0.03896070015616715,optimal,8.365140746083936,20.970816469722344
7,30,40,69,20.977095,0.00039269099943339825,0.07057032105512917,0.06452492717653513,optimal,8.449753675903121,20.949707839848397
7,30,60,89,20.930981999999997,0.0003965978976339102,0.056810158072039485,0.04997949698008597,optimal,8.491774951454971,20.926305
7,30,80,109,20.962301999999998,0.0004120189696550369,0.06534726684913039,0.05850646900944412,optimal,8.515175479561297,20.858877
7,30,100,129,20.967501,0.00041905581019818783,0.08306964416988194,0.07622677716426551,optimal,8.540022672693308,20.932889375895666
7,15,20,34,9.963557999999999,0.0004249319899827242,0.03000420005992055,0.024147489806637168,optimal,7.832893246201252,9.923639575782225
7,15,40,54,9.926895,0.00039825006388127804,0.046318324049934745,0.0402447828091681,optimal,7.955080281761136,9.923517
7,15,60,74,9.918027,0.0005437470972537994,0.07262601982802153,0.0660309239756316,optimal,7.983832527273291,9.87513871174652
7,15,80,94,9.869537999999999,0.00041695008985698223,0.08038505888544023,0.07385812909342349,optimal,7.988667667602669,9.85683
7,15,100,114,9.875103,0.0003959960304200649,0.11320935911498964,0.10640886309556663,optimal,7.997727604794815,9.866934
7,5,20,24,2.748792,0.0004910589195787907,0.059567026095464826,0.05358512909151614,optimal,6.9864655516065435,2.745410986826961
7,5,40,44,2.7892199999999994,0.00048278295435011387,0.0696743621956557,0.06353352684527636,optimal,7.065890981589975,2.7580199739052986
7,5,60,64,2.7193409999999996,0.000421260017901659,0.06606673402711749,0.05985441990196705,optimal,7.089951028102916,2.7189389958229837
7,5,80,84,2.6852729999999996,0.00040689087472856045,0.11949290102347732,0.11315326788462698,optimal,7.074378234295476,2.676495
7,5,100,104,2.707311,0.0004025469534099102,0.13442353811115026,0.12776221986860037,optimal,7.088053655606563,2.7049709919112255
7,3,20,22,1.3268579999999996,0.00038888584822416306,0.04423339804634452,0.03847985388711095,optimal,6.51332291747203,1.3200209991287795
7,3,40,42,1.3970099999999999,0.00038614915683865547,0.08084570802748203,0.07512454292736948,optimal,6.618655283577666,1.393913962019993
7,3,60,62,1.3461659999999998,0.0006641868967562914,0.11425841203890741,0.10500891390256584,optimal,6.63071708955452,1.3432259972579228
7,3,80,82,1.3071539999999997,0.00039564305916428566,0.13154699211008847,0.1253378759138286,optimal,6.600279235362437,1.2986429951978868
7,3,100,102,1.3359389999999998,0.0004189601168036461,0.16388638387434185,0.15720019792206585,optimal,6.620797760898005,1.3298969966114136
