nb_clients,T,s,n_rounds,corrected_budget,build_seconds,solve_seconds,status,objective_value,achieved_GHG
7,90,20,109,64.76018399999998,0.0018768770387396216,0.012828930979594588,greedy_done,9.206292966300541,64.72647600000008
7,90,40,129,64.76538299999999,0.002565615111961961,0.01608313398901373,greedy_done,9.262489278316062,64.68601800000015
7,90,60,149,64.74673799999998,0.0034280259860679507,0.01916738401632756,greedy_done,9.295564806911534,64.66437000000016
7,90,80,169,64.72295999999999,0.004405634012073278,0.02155581198167056,greedy_done,9.322630476181606,64.64005800000018
7,90,100,189,64.73771699999998,0.005560940015129745,0.024747321964241564,greedy_done,9.349288260722616,64.72496400000021
7,75,20,94,52.97891699999999,0.0014758859761059284,0.01000132504850626,greedy_done,9.052406549280171,52.85635500000002
7,75,40,114,52.98448199999999,0.0020953889470547438,0.012833676068112254,greedy_done,9.11277310007138,52.90572900000004
7,75,60,134,52.974788999999994,0.0027986490167677402,0.01559926406480372,greedy_done,9.151840569290698,52.962477000000035
7,75,80,154,52.988066999999994,0.003643312957137823,0.01800637599080801,greedy_done,9.179999199309496,52.983015000000044
7,75,100,174,52.97498699999999,0.004663213971070945,0.019876305013895035,greedy_done,9.20064218078452,52.89923700000011
7,60,20,79,41.780871,0.0010270200436934829,0.007503944914788008,greedy_done,8.877925068346174,41.672348999999976
7,60,40,99,41.836791,0.0015550319803878665,0.00996167107950896,greedy_done,8.933998208780238,41.77853699999997
7,60,60,119,41.82666,0.0022143800742924213,0.012278920970857143,greedy_done,8.97834775114234,41.69319599999994
7,60,80,139,41.77531799999999,0.003036930924281478,0.014321679016575217,greedy_done,9.009528799301878,41.74242599999994
7,60,100,159,41.781741,0.00391927408054471,0.016773170907981694,greedy_done,9.029588151054677,41.70328799999995
7,45,20,64,31.350030000000004,0.0007375300629064441,0.005426193936727941,greedy_done,8.664659069977109,31.314794999999936
7,45,40,84,31.315962000000003,0.0012717689387500286,0.007348656072281301,greedy_done,8.72800483980263,31.290245999999936
7,45,60,104,31.338000000000005,0.0017220890149474144,0.009158791042864323,greedy_done,8.772443708592384,31.283693999999937
7,45,80,124,31.341156,0.0024132030084729195,0.01112611498683691,greedy_done,8.806189683885162,31.316189999999935
7,45,100,144,31.288653000000004,0.0032895009499043226,0.01285292103420943,greedy_done,8.821654753327648,31.101515999999936
7,30,20,49,21.048465,0.0004249709891155362,0.0036021650303155184,greedy_done,8.365148162461356,20.97064799999998
7,30,40,69,20.977095000000002,0.0008214749395847321,0.005141310044564307,greedy_done,8.448293575272091,20.870408999999988
7,30,60,89,20.930982,0.0013095380272716284,0.006601181928999722,greedy_done,8.488511378771287,20.789372999999998
7,30,80,109,20.962302,0.0018901829607784748,0.008380493032746017,greedy_done,8.52061485250227,20.866898999999997
7,30,100,129,20.967501000000002,0.002646877896040678,0.010239576105959713,greedy_done,8.540022706874831,20.932889999999997
7,15,20,34,9.963557999999997,0.0002195810666307807,0.0017297049053013325,greedy_done,7.832893289118562,9.923639999999997
7,15,40,54,9.926894999999998,0.0005017549265176058,0.0029596100794151425,greedy_done,7.955810835058174,9.877308
7,15,60,74,9.918026999999999,0.0009280809899792075,0.004101291066035628,greedy_done,7.983832550595892,9.875139
7,15,80,94,9.869537999999997,0.0014404570683836937,0.00510702992323786,greedy_done,7.986865802294771,9.776004000000004
7,15,100,114,9.875102999999998,0.002066688030026853,0.006425992934964597,greedy_done,7.994890091712261,9.790047000000005
7,5,20,24,2.748792,0.00014138792175799608,0.0006193059962242842,greedy_done,6.986465557163597,2.7454110000000003
7,5,40,44,2.7892200000000003,0.000356131000444293,0.001212358009070158,greedy_done,7.070137225665735,2.7761100000000005
7,5,60,64,2.719341,0.0007483449298888445,0.0017057469813153148,greedy_done,7.089951029663297,2.718939
7,5,80,84,2.685273,0.0011792749864980578,0.0021440000273287296,greedy_done,7.0626986049888085,2.600715
7,5,100,104,2.707311,0.0017418480711057782,0.0026194569654762745,greedy_done,7.067323635976803,2.6034360000000003
7,3,20,22,1.326858,0.00012037402484565973,0.00037191901355981827,greedy_done,6.515145546869369,1.3139310000000002
7,3,40,42,1.3970100000000003,0.00032192107755690813,0.0007386169163510203,greedy_done,6.619130275156247,1.39224
7,3,60,62,1.3461660000000002,0.0006419450510293245,0.0010477449977770448,greedy_done,6.6308024050177865,1.3404989999999999
7,3,80,82,1.3071540000000001,0.001100823050364852,0.0012388889444991946,greedy_done,6.554829179407648,1.200207
7,3,100,102,1.3359390000000002,0.0017094169743359089,0.0016314699314534664,greedy_done,6.623071449875257,1.3231410000000001
14,90,20,109,124.35285300000007,0.0035400259075686336,0.02161310298833996,greedy_done,18.482429552394336,124.31807099999996
14,90,40,129,124.31037600000006,0.004884811001829803,0.026996903005056083,greedy_done,18.631734421826287,124.226643
